[01:49:38]: LWJGL Version: 3.2.3 build 13!
[01:49:38]: Game Version: 0.0A
[01:49:38]: Loading texture snow.png
[01:49:38]: Loading texture iron_axe.png
[01:49:38]: Loading texture glass.png
[01:49:38]: Loading texture iron_ingot.png
[01:49:38]: Loading texture grass.png
[01:49:38]: Loading texture darkstone.png
[01:49:38]: Loading texture grey.png
[01:49:38]: Loading texture crafting_table_front.png
[01:49:38]: Loading texture break9.png
[01:49:38]: Loading texture furnace_front_off.png
[01:49:38]: Loading texture iron_shovel.png
[01:49:38]: Loading texture bluestone.png
[01:49:38]: Loading texture brick.png
[01:49:38]: Loading texture sticks.png
[01:49:38]: Loading texture break8.png
[01:49:38]: Loading texture tallgrass.png
[01:49:38]: Loading texture error.png
[01:49:38]: Loading texture break0.png
[01:49:38]: Loading texture flower_yellow.png
[01:49:38]: Loading texture diamond_ore.png
[01:49:38]: Loading texture diamond_shovel.png
[01:49:38]: Loading texture wood_sword.png
[01:49:38]: Loading texture stone_axe.png
[01:49:38]: Loading texture break1.png
[01:49:38]: Loading texture outline.png
[01:49:38]: Loading texture chest_side.png
[01:49:38]: Loading texture dirt.png
-------------------------------------------------------------
[01:49:38]: Loaded atlas appears to be 16 width and 16 height
-------------------------------------------------------------

----------------------------------------------------------------------------------------------
[01:49:38]: OS: Linux 5.10.0-8-amd64 amd64
[01:49:38]: User: brett@/home/brett
[01:49:38]: Working Directory: /home/brett/Documents/Brock/Gamers/Java Brock 2021 Project/Game
[01:49:38]: Number of cores: 16
[01:49:38]: Current Thread: Thread[main,5,main]
----------------------------------------------------------------------------------------------

